Time,Channel A,Channel B
(ms),(V),(mV)
-0.45077803,-0.59852900,-0.38758500
-0.44821803,-0.59852900,0.05340739
-0.44565803,-0.59852900,0.05340739
-0.44309803,-0.59852900,-0.38758500
-0.44053803,-0.58101140,-0.38758500
-0.43797803,-0.58101140,0.49287390
-0.43541803,-0.58101140,0.05340739
-0.43285803,-0.56355480,0.05340739
-0.43029803,-0.56355480,-0.38758500
-0.42773803,-0.56355480,-0.38758500
-0.42517803,-0.56355480,-0.38758500
-0.42261803,-0.56355480,-0.38758500
-0.42005803,-0.56355480,0.05340739
-0.41749803,-0.54603720,0.05340739
-0.41493803,-0.56355480,-0.38758500
-0.41237803,-0.54603720,-0.38758500
-0.40981803,-0.54603720,0.05340739
-0.40725803,-0.54603720,-0.38758500
-0.40469803,-0.54603720,-0.38758500
-0.40213803,-0.54603720,0.05340739
-0.39957803,-0.54603720,-0.82857750
-0.39701803,-0.52858060,-0.38758500
-0.39445803,-0.52858060,-0.38758500
-0.39189803,-0.52858060,0.05340739
-0.38933803,-0.52858060,-0.38758500
-0.38677803,-0.52858060,-0.38758500
-0.38421803,-0.52858060,0.05340739
-0.38165803,-0.52858060,0.05340739
-0.37909803,-0.52858060,0.05340739
-0.37653803,-0.51106300,0.05340739
-0.37397803,-0.52858060,-0.38758500
-0.37141803,-0.51106300,-0.38758500
-0.36885803,-0.51106300,-0.82857750
-0.36629803,-0.51106300,0.05340739
-0.36373803,-0.51106300,0.05340739
-0.36117803,-0.49360640,0.05340739
-0.35861803,-0.49360640,-0.38758500
-0.35605803,-0.49360640,0.05340739
-0.35349803,-0.49360640,-0.82857750
-0.35093803,-0.49360640,-0.38758500
-0.34837803,-0.47608880,0.05340739
-0.34581803,-0.49360640,-0.38758500
-0.34325803,-0.47608880,-0.38758500
-0.34069803,-0.47608880,-0.38758500
-0.33813803,-0.47608880,-0.38758500
-0.33557803,-0.45863220,-0.38758500
-0.33301803,-0.45863220,-0.38758500
-0.33045803,-0.45863220,0.05340739
-0.32789803,-0.45863220,-0.38758500
-0.32533803,-0.45863220,0.05340739
-0.32277803,-0.45863220,-0.38758500
-0.32021803,-0.45863220,-0.38758500
-0.31765803,-0.45863220,-0.38758500
-0.31509803,-0.45863220,-0.82857750
-0.31253803,-0.44111450,0.05340739
-0.30997803,-0.44111450,-0.38758500
-0.30741803,-0.44111450,-0.38758500
-0.30485803,-0.44111450,-0.82857750
-0.30229803,-0.42365800,0.05340739
-0.29973803,-0.42365800,0.05340739
-0.29717803,-0.42365800,-0.38758500
-0.29461803,-0.42365800,0.05340739
-0.29205803,-0.42365800,-0.82857750
-0.28949803,-0.42365800,-0.82857750
-0.28693803,-0.42365800,0.49287390
-0.28437803,-0.40614030,-0.38758500
-0.28181803,-0.40614030,-0.38758500
-0.27925803,-0.40614030,-0.38758500
-0.27669803,-0.40614030,0.05340739
-0.27413803,-0.38868370,0.05340739
-0.27157803,-0.40614030,0.05340739
-0.26901803,-0.40614030,-0.38758500
-0.26645803,-0.38868370,-0.38758500
-0.26389803,-0.38868370,-0.38758500
-0.26133803,-0.38868370,0.05340739
-0.25877803,-0.38868370,0.05340739
-0.25621803,-0.38868370,-0.38758500
-0.25365803,-0.38868370,0.05340739
-0.25109803,-0.38868370,0.05340739
-0.24853803,-0.38868370,-0.82857750
-0.24597803,-0.37116610,0.05340739
-0.24341803,-0.37116610,-0.38758500
-0.24085803,-0.35370950,0.05340739
-0.23829803,-0.35370950,0.05340739
-0.23573803,-0.35370950,-0.38758500
-0.23317803,-0.35370950,0.05340739
-0.23061803,-0.35370950,0.05340739
-0.22805803,-0.35370950,-0.38758500
-0.22549803,-0.35370950,0.05340739
-0.22293803,-0.35370950,-0.38758500
-0.22037803,-0.33619190,-0.38758500
-0.21781803,-0.33619190,-0.38758500
-0.21525803,-0.31873530,0.05340739
-0.21269803,-0.31873530,-0.38758500
-0.21013803,-0.31873530,-0.38758500
-0.20757803,-0.31873530,-0.38758500
-0.20501803,-0.31873530,-0.38758500
-0.20245803,-0.31873530,-0.82857750
-0.19989803,-0.31873530,0.05340739
-0.19733803,-0.31873530,0.05340739
-0.19477803,-0.31873530,-0.38758500
-0.19221803,-0.31873530,-0.38758500
-0.18965803,-0.31873530,0.05340739
-0.18709803,-0.30121770,-0.82857750
-0.18453803,-0.30121770,-0.38758500
-0.18197803,-0.28376110,0.05340739
-0.17941803,-0.28376110,0.05340739
-0.17685803,-0.28376110,-0.38758500
-0.17429803,-0.28376110,-0.82857750
-0.17173803,-0.28376110,0.05340739
-0.16917803,-0.28376110,-0.38758500
-0.16661803,-0.28376110,-0.38758500
-0.16405803,-0.26624350,0.05340739
-0.16149803,-0.26624350,0.05340739
-0.15893803,-0.26624350,-0.82857750
-0.15637803,-0.26624350,-0.38758500
-0.15381803,-0.26624350,0.05340739
